gammac-cubic.-5%	7.257940000044982	0	0	0	0	0	0	0	0	0	4.996368094788427e-6	1.0083790896819469e-6	-3.003621837089289e-6	-0.0009974960052801804	-0.0010014959842302015	-0.000999495994757194
gammac-cubic.-4%	-0.7305899998755194	0	0	0	0	0	0	0	0	0	3.197987524647154e-6	6.441360018169437e-7	-1.922008410775954e-6	-0.0007983979582068287	-0.000800957949615642	-0.0007996779539118916
gammac-cubic.-3%	-4.2437699999027245	0	0	0	0	0	0	0	0	0	1.7994717778663916e-6	3.6206502987436223e-7	-1.080527268200772e-6	-0.000599099172914208	-0.0006005391703624173	-0.0005998191716384683
gammac-cubic.-2%	-6.496329999890804	0	0	0	0	0	0	0	0	0	7.993334997225097e-7	1.6010168433788777e-7	-4.806664383723934e-7	-0.00039959977432071496	-0.0004002397738799488	-0.00039991977410035233
gammac-cubic.-1%	-9.027619999869785	0	0	0	0	0	0	0	0	0	2.0028537192412538e-7	4.038137215824155e-8	-1.1971464702400722e-7	-0.00019989997902487516	-0.0002000599790088024	-0.00019997997901683944
gammac-cubic.1%	-6.544630000007601	0	0	0	0	0	0	0	0	0	2.0034932078132583e-7	4.0253372191316866e-8	-1.1965059604493632e-7	0.0002000999470296224	0.00019993994709681446	0.00020001994706321904
gammac-cubic.2%	-6.088610000006156	0	0	0	0	0	0	0	0	0	7.998453697341422e-7	1.5907768467774254e-7	-4.801543085023335e-7	0.00040039973334345645	0.0003997597339136555	0.0004000797336285764
gammac-cubic.3%	-2.118599999903381	0	0	0	0	0	0	0	0	0	1.8011996526478955e-6	3.5860903341657217e-7	-1.0787991467554465e-6	0.0006008991449789283	0.0005994591476516232	0.0006001791463154312
gammac-cubic.4%	2.0585400000072696	0	0	0	0	0	0	0	0	0	3.2020835977637407e-6	6.359440186045362e-7	-1.917912500479766e-6	0.0008015979635365907	0.0007990379720357911	0.0008003179677868455
gammac-cubic.5%	4.234180000139531	0	0	0	0	0	0	0	0	0	5.0043679698680775e-6	9.9237914223689e-7	-2.995621764834463e-6	0.0010024959745927452	0.0009984959957093907	0.0010004959851530647
